checkpoint_label,noise_group,sample_label,case_id,noise_pct,overlap_bucket,low_threshold,der,miss,fa,conf,ov_precision,ov_recall,ov_f1,pred_segments,ref_segments
baseline,0% noise,data11 | ov10 | 0% noise,data11,0.0,ov10,0.05,26.148137635927547,14.6841727101088,8.451260635115155,3.0127042907035926,0.6608362369337979,0.5177723177723177,0.5806214602785856,533,285
ep007_phase2_top6_overlap,0% noise,data11 | ov10 | 0% noise,data11,0.0,ov10,0.25,8.302101296069521,0.09542735085803301,8.102068993694864,0.1046049515166236,0.6677757870488866,0.9971607971607971,0.7998861247372109,368,285
ep007_phase2_top6_overlap,0% noise,data2 | ov0 | 0% noise,data2,0.0,ov0,0.05,28.257427160558557,0.003027612329996827,26.75793629450316,1.496463253725398,0.003260869565217391,0.9615384615384615,0.006499696680821562,387,257
ep007_phase2_top6_overlap,0% noise,data2 | ov0 | 0% noise,data2,0.0,ov0,0.25,8.467475840994371,0.4332472983918194,7.060205358960384,0.9740231836421673,0.009596072305288998,0.5512820512820512,0.018863785917964462,328,257
ep007_phase2_top6_overlap,0% noise,data56 | ov5 | 0% noise,data56,0.0,ov5,0.05,33.07253233335715,0.17084467924075689,30.457723487893073,2.443964166223327,0.19389621185132408,0.9689057678613814,0.32312837664008237,508,257
ep007_phase2_top6_overlap,0% noise,data56 | ov5 | 0% noise,data56,0.0,ov5,0.25,12.546129519682983,0.6632311543264701,9.820192625441866,2.062705739914645,0.46885540814031934,0.9897934963209115,0.6363012130922407,386,257
ep007_phase2_top6_overlap,with noise,data14 | ov10 | 17% noise,data14,17.0,ov10,0.05,37.35651615248565,0.7466712258435833,30.587499913032644,6.022345013609423,0.36678045418850264,0.9394909688013136,0.5275885519324088,602,324
ep007_phase2_top6_overlap,with noise,data14 | ov10 | 17% noise,data14,17.0,ov10,0.25,22.207224880443327,1.2838510241018632,12.970448598642617,7.952925257698845,0.6149387082192145,0.9493431855500821,0.7463972759694676,488,324
ep007_phase2_top6_overlap,with noise,data5 | ov0 | 23% noise,data5,23.0,ov0,0.05,28.657532420109273,0.01624572834460187,27.92761919625629,0.7136674955083799,0.002756041143757075,0.9032258064516129,0.005495314263284432,416,237
ep007_phase2_top6_overlap,with noise,data5 | ov0 | 23% noise,data5,23.0,ov0,0.25,13.190715891478128,0.9245175342069364,11.147897400861734,1.118300956409457,0.007182433819002668,0.564516129032258,0.014184397163120567,331,237
ep007_phase2_top6_overlap,with noise,data62 | ov5 | 23% noise,data62,23.0,ov5,0.05,32.135765166234165,0.04378567311400686,29.368870360137457,2.7231091329827017,0.266767349161942,0.9980548351241201,0.42100533338542984,572,294
